pos,url,name,westerley points,race count
1,https://rgtdb.com/user/86973,David wcc Buckley wcc,207,12
2,https://rgtdb.com/user/128814,Tim Cummins,205,12
3,https://rgtdb.com/user/70138,Andrew Beale,203,12
4,https://rgtdb.com/user/65012,Dave Morrison,190,12
5,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,160,12
6,https://rgtdb.com/user/91958,Gt Thakkar,102,7
7,https://rgtdb.com/user/221746,Tom Yates-ijaz,81,5
8,https://rgtdb.com/user/241161,Weiran Shen,70,4
9,https://rgtdb.com/user/228324,Nic Lee,49,3
10,https://rgtdb.com/user/149081,Sam Doshi,41,3
11,https://rgtdb.com/user/74342,Nic Stevenson,39,2
12,https://rgtdb.com/user/86836,Rob Bennett,36,2
13,https://rgtdb.com/user/69166,Ian Nguru,30,2
14,https://rgtdb.com/user/88613,Jerry Ball,17,1
