pos,url,name,westerley points,race count
1,https://rgtdb.com/user/128814,Tim Cummins,124,7
2,https://rgtdb.com/user/86973,David wcc Buckley wcc,117,7
3,https://rgtdb.com/user/70138,Andrew Beale,113,7
4,https://rgtdb.com/user/65012,Dave Morrison,109,7
5,https://rgtdb.com/user/241161,Weiran Shen,70,4
6,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,60,7
7,https://rgtdb.com/user/91958,Gt Thakkar,58,4
8,https://rgtdb.com/user/228324,Nic Lee,49,3
9,https://rgtdb.com/user/221746,Tom Yates-ijaz,49,3
10,https://rgtdb.com/user/149081,Sam Doshi,41,3
11,https://rgtdb.com/user/86836,Rob Bennett,36,2
12,https://rgtdb.com/user/69166,Ian Nguru,30,2
13,https://rgtdb.com/user/74342,Nic Stevenson,20,1
14,https://rgtdb.com/user/88613,Jerry Ball,17,1
